FIP,ANH,YES,DOL
0.027518182,0.143715846,0.010864891,0.81790108
0.027917157,0.147840345,0.013187218,0.81105528
0.028885406,0.126474099,0.007493159,0.837147337
0.058860783,0.04673819,0.0284068,0.865994226
0.058311562,0.111197571,0.044209832,0.786281035
0.065169758,0.080077275,0.024117411,0.830635557
0.072345305,0.043949668,0.003362966,0.88034206
