fip,FIS,CAL,SIL
0.024100232,0.056358675,0.889286608,0.030254485
-0.008751329,0.130432597,0.22456821,0.653750521
-0.026709065,0.169616866,-0.131702128,0.988794326
-0.023833655,0.160250009,-0.056883605,0.920467251
-0.020958972,0.150883879,0.017934919,0.852140175
