0.5330,0.7867
0.5324,0.7849
0.5382,0.7880
0.5442,0.7911
0.5480,0.7945
0.5505,0.7982
0.5533,0.8028
0.5591,0.8148
0.5652,0.8273
0.5666,0.8295
0.5658,0.8268
0.5647,0.8235
0.5623,0.8184
0.5600,0.8133
0.5592,0.8095
0.5589,0.8060
0.5579,0.8031
0.5559,0.8009
0.5538,0.7989
0.5513,0.7945
0.5489,0.7900
0.5482,0.7883
0.5493,0.7895
0.5501,0.7905
0.5487,0.7898
0.5474,0.7892
0.5444,0.7867
0.5403,0.7831
0.5369,0.7805
0.5365,0.7820
0.5361,0.7835
0.5376,0.7869
0.5398,0.7912
0.5440,0.7983
0.5529,0.8127
0.5623,0.8278
0.5861,0.8757
0.6161,0.9363
0.6341,0.9720
0.6302,0.9628
0.6264,0.9538
0.5840,0.8824
0.5474,0.8210
0.5362,0.7961
0.5430,0.7961
0.5492,0.7964
0.5507,0.7987
0.5522,0.8010
0.5559,0.8110
0.5609,0.8253
0.5646,0.8359
0.5634,0.8329
0.5623,0.8300
0.5588,0.8205
0.5550,0.8096
0.5519,0.8008
0.5500,0.7956
0.5484,0.7905
0.5478,0.7921
0.5474,0.7942
0.5465,0.7946
0.5449,0.7930
0.5433,0.7913
0.5425,0.7908
0.5418,0.7903
0.5414,0.7903
0.5413,0.7908
0.5412,0.7911
0.5411,0.7902
0.5409,0.7892
0.5422,0.7900
0.5439,0.7915
0.5460,0.7926
0.5483,0.7927
0.5507,0.7929
0.5501,0.7927
0.5490,0.7925
0.5470,0.7921
0.5438,0.7915
0.5406,0.7910
0.5410,0.7916
0.5415,0.7923
0.5429,0.7937
0.5451,0.7957
0.5474,0.7976
0.5498,0.7975
0.5523,0.7975
0.5532,0.7975
0.5534,0.7975
0.5527,0.7976
0.5492,0.7983
0.5456,0.7989
0.5416,0.8013
0.5374,0.8043
0.5347,0.8054
0.5349,0.8029
0.5351,0.8003
0.5360,0.7991
0.5369,0.7980
0.5377,0.7961
