0.15,2.61,62.76,1.0000
0.15,2.61,65.26,1.0000
0.14,2.60,67.79,1.0000
0.14,2.59,70.16,1.0000
0.13,2.58,71.96,1.0000
0.12,2.58,72.60,1.0000
0.11,2.59,71.68,1.0000
0.10,2.59,70.08,1.0000
0.10,2.60,68.53,1.0000
0.09,2.60,67.27,1.0000
0.09,2.60,66.01,1.0000
0.09,2.59,64.55,1.0000
0.09,2.61,63.06,1.0000
0.09,2.63,61.84,1.0000
0.10,2.65,61.23,1.0000
0.11,2.64,61.23,1.0000
0.12,2.62,61.73,1.0000
0.11,2.59,64.73,1.0000
0.11,2.60,65.68,1.0000
0.11,2.61,67.23,1.0000
0.11,2.61,69.21,1.0000
0.11,2.61,71.16,1.0000
0.11,2.61,72.59,1.0000
0.10,2.61,73.10,1.0000
0.10,2.60,72.90,1.0000
0.09,2.60,72.16,1.0000
0.08,2.61,71.10,1.0000
0.08,2.63,69.90,1.0000
0.08,2.65,68.69,1.0000
0.08,2.66,67.47,1.0000
0.09,2.68,66.33,1.0000
0.09,2.67,65.65,1.0000
0.10,2.65,65.78,1.0000
0.11,2.63,66.75,1.0000
0.11,2.61,68.32,1.0000
0.12,2.60,70.51,1.0000
0.12,2.59,73.08,1.0000
0.12,2.59,75.50,1.0000
0.12,2.59,77.06,1.0000
0.11,2.59,77.26,1.0000
0.11,2.60,76.48,1.0000
0.10,2.61,74.74,1.0000
0.09,2.63,71.85,1.0000
0.09,2.64,67.97,1.0000
0.08,2.65,64.32,1.0000
0.08,2.66,62.00,1.0000
0.08,2.66,61.46,1.0000
0.08,2.66,62.99,1.0000
0.09,2.66,66.34,1.0000
0.09,2.65,70.88,1.0000
0.10,2.64,75.13,1.0000
0.11,2.62,77.66,1.0000
0.12,2.59,78.90,1.0000
0.12,2.58,79.58,1.0000
0.12,2.57,79.90,1.0000
0.12,2.58,79.36,1.0000
0.11,2.59,77.72,1.0000
0.11,2.60,75.24,1.0000
0.10,2.61,72.62,1.0000
0.10,2.61,70.64,1.0000
0.09,2.61,69.46,1.0000
0.09,2.62,68.99,1.0000
0.09,2.63,69.32,1.0000
0.09,2.64,70.88,1.0000
0.08,2.65,73.36,1.0000
0.08,2.66,76.19,1.0000
0.08,2.67,78.76,1.0000
0.08,2.67,80.41,1.0000
0.08,2.67,80.56,1.0000
0.08,2.67,78.63,1.0000
0.08,2.67,75.07,1.0000
0.09,2.67,71.77,1.0000
0.09,2.66,69.91,1.0000
0.09,2.66,69.39,1.0000
0.10,2.66,69.62,1.0000
0.10,2.66,70.15,1.0000
0.10,2.65,70.63,1.0000
0.10,2.65,70.85,1.0000
0.10,2.65,70.71,1.0000
0.10,2.65,70.30,1.0000
0.10,2.65,69.83,1.0000
0.10,2.66,69.47,1.0000
0.10,2.66,69.20,1.0000
0.09,2.66,68.70,1.0000
0.09,2.67,67.69,1.0000
0.09,2.67,66.34,1.0000
0.09,2.67,64.87,1.0000
0.09,2.68,63.60,1.0000
0.09,2.68,62.79,1.0000
0.09,2.68,62.40,1.0000
0.08,2.68,62.08,1.0000
0.08,2.67,61.85,1.0000
0.08,2.67,62.31,1.0000
0.08,2.67,63.62,1.0000
0.08,2.66,65.42,1.0000
0.08,2.66,67.23,1.0000
0.08,2.67,68.94,1.0000
0.08,2.67,70.71,1.0000
0.08,2.67,72.55,1.0000
0.07,2.67,74.05,1.0000
0.07,2.68,74.84,1.0000
0.07,2.69,75.01,1.0000
0.08,2.69,74.97,1.0000
0.09,2.70,75.21,1.0000
0.10,2.69,75.71,1.0000
0.10,2.67,76.16,1.0000
0.11,2.65,76.27,1.0000
0.12,2.62,75.98,1.0000
0.13,2.60,75.72,1.0000
0.14,2.58,75.86,1.0000
0.14,2.56,76.59,1.0000
0.14,2.54,77.57,1.0000
0.13,2.53,77.60,1.0000
0.12,2.53,75.60,1.0000
0.11,2.55,71.61,1.0000
0.11,2.57,67.28,1.0000
0.10,2.60,64.11,1.0000
0.10,2.61,62.43,1.0000
0.09,2.63,62.07,1.0000
0.09,2.66,62.77,1.0000
0.09,2.68,63.72,1.0000
0.09,2.69,64.48,1.0000
0.09,2.69,65.24,1.0000
0.09,2.69,66.32,1.0000
0.09,2.68,67.42,1.0000
0.08,2.67,68.19,1.0000
0.08,2.66,68.73,1.0000
0.08,2.66,69.45,1.0000
0.07,2.66,70.41,1.0000
0.07,2.66,71.50,1.0000
0.07,2.67,72.81,1.0000
0.07,2.67,75.01,1.0000
0.07,2.67,78.51,1.0000
0.07,2.68,82.93,1.0000
0.07,2.68,86.84,1.0000
0.08,2.69,88.38,1.0000
0.08,2.69,87.86,1.0000
0.08,2.69,86.36,1.0000
0.08,2.68,85.02,1.0000
0.08,2.68,84.46,1.0000
0.08,2.67,84.54,1.0000
0.08,2.67,85.15,1.0000
0.08,2.66,86.18,1.0000
0.08,2.66,87.06,1.0000
0.09,2.65,87.02,1.0000
0.10,2.65,85.97,1.0000
