0.13,2.60,59.05,1.00
0.13,2.59,57.47,1.00
0.14,2.59,57.08,1.00
0.14,2.60,57.50,1.00
0.14,2.60,58.67,1.00
0.15,2.61,60.49,1.00
0.28,2.25,84.05,1.00
0.18,2.43,60.94,1.00
0.17,2.46,61.01,1.00
0.15,2.47,61.35,1.00
0.10,2.55,58.73,1.00
0.10,2.60,54.97,1.00
0.10,2.62,51.34,1.00
0.10,2.63,48.94,1.00
0.10,2.63,47.87,1.00
0.09,2.63,47.81,1.00
0.09,2.63,48.52,1.00
0.08,2.63,49.45,1.00
0.08,2.64,50.26,1.00
0.08,2.66,50.92,1.00
0.07,2.68,51.67,1.00
0.07,2.69,52.59,1.00
0.07,2.69,53.44,1.00
0.07,2.69,53.84,1.00
0.07,2.70,53.64,1.00
0.07,2.71,53.39,1.00
0.08,2.70,53.63,1.00
0.08,2.68,54.75,1.00
0.20,2.49,70.90,1.00
0.24,2.44,65.62,1.00
0.21,2.45,61.26,1.00
0.18,2.46,55.78,1.00
0.14,2.49,51.54,1.00
0.12,2.55,49.57,1.00
0.10,2.61,49.94,1.00
0.09,2.64,52.43,1.00
0.09,2.66,55.63,1.00
