0.27,2.23,78.46,1.00
0.26,2.22,72.21,1.00
0.23,2.25,66.84,1.00
0.21,2.32,63.22,1.00
0.19,2.38,61.50,1.00
0.13,2.46,61.60,1.00
0.11,2.49,61.00,1.00
